id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
67,2048,8,DLMT,1,32,False,4,512,0.0009505182796769872,True,256,16,16,True,2.9952358734921414,4,4,1,2048,True,False,True,2,True,512,False,512,False,1,8,16,False,4,1,12,1,16,4,1,False,10,2.9964141265078585,4,2.995825,12,2,2,True,256,1,12,256,True,8,1,32,1
68,4,8,DLMT,4,16,False,1,2048,0.0005386427387423816,False,2,1,16,False,4.759494151906341,16,8,8,256,False,True,True,4,False,128,True,1,True,4,16,2048,True,1,8,1,4,12,12,1,False,10,4.76016184809366,1,4.759828000000001,1,8,1,True,8,1,12,2,False,4,8,1,1
69,2,16,DLMT,8,4,False,8,1,0.00027932955446934244,True,32,2,4,False,2.777721872929764,2048,8,8,32,True,True,True,16,False,1,True,2,True,12,4,2048,True,16,1,4,1,1,1,8,False,10,2.778068127070236,1,2.777895,8,1,8,True,512,128,12,512,False,8,4,8,1
70,512,256,DLMT,1,8,False,4,2,0.0005230497108306281,False,1,256,2,False,2.5972928163875793,16,128,1,1,True,True,False,16,False,4,True,1024,True,8,1,512,True,12,1,1,16,16,12,1,False,10,2.5979411836124218,12,2.5976170000000005,8,1,2,True,256,256,8,1,True,1,1,32,12
71,2048,2048,DLMT,4,4,True,32,1,0.0005452898311906603,False,1,2,1,False,4.032465032071461,16,16,2048,2048,True,True,True,8,True,64,True,1,True,16,12,16,True,1,1,16,1,8,16,1,False,10,4.033140967928538,16,4.0328029999999995,12,1,16,True,8,128,8,16,False,1,2,16,12
72,128,2048,DLMT,32,1,True,2,2,0.0029967675919230184,False,128,1,1,True,3.625464618333554,1,1,2048,512,True,True,False,1,True,16,True,32,True,1,8,512,False,4,1,16,1,8,12,1,False,10,3.629179381666445,4,3.6273219999999995,12,2,4,True,32,8,16,128,False,1,2,16,1
73,2,512,DLMT,1,32,True,1,2,0.00017994721448235824,False,1024,2048,2,False,5.506555469610387,256,128,64,1,True,False,False,2,True,16,True,2048,True,8,4,256,False,1,16,1,16,12,16,1,False,10,5.506778530389614,16,5.506667,16,32,1,True,4,256,4,1,False,8,4,4,1
74,128,1,DLMT,8,32,True,1,2,0.0021876069116730347,False,256,8,4,False,4.69063813210351,4,2048,256,256,True,True,False,1,True,64,False,256,False,12,16,32,False,1,4,1,12,8,1,8,False,10,4.69334986789649,16,4.691994,16,8,8,True,128,64,16,2048,False,4,2,32,1
75,8,128,DLMT,8,8,True,8,1024,0.000626578007912781,True,64,4,1,False,2.735401650063344,8,8,512,128,True,False,True,1,False,1024,True,1,False,4,1,1,False,8,1,1,12,4,1,12,False,10,2.7361783499366554,8,2.7357899999999997,12,32,2,True,512,1024,16,16,False,8,8,16,1
76,4,128,DLMT,2,1,True,32,1024,0.0009387331889307422,True,2,1,1,False,3.700398177832841,1,1,1,1024,True,False,False,16,False,128,True,128,False,1,1,2048,False,1,1,1,16,4,1,16,False,10,3.7015618221671587,1,3.70098,16,2,1,True,256,1,16,32,False,1,16,8,8
77,128,1,DLMT,2,32,False,1,512,0.00023583044756776296,False,64,1,32,False,2.189311833460132,2,1024,512,2048,False,False,False,64,False,128,True,1,False,16,8,1024,True,1,1,1,12,8,1,12,False,10,2.189604166539869,1,2.1894580000000006,1,4,16,True,1,1024,16,128,True,1,32,4,16
78,4,4,DLMT,1,8,True,2,16,0.00015484185480676096,True,2048,1,2,True,1.842046029787598,8,1,1024,1,False,False,False,2,False,256,False,2048,True,16,1,256,False,1,8,4,1,8,1,1,False,10,1.8422379702124023,1,1.8421420000000002,1,2,1,True,64,64,8,2,True,1,4,2,16
