id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
106,1024,64,128,0.11964195378538496,8,16,32,256,RS,False,False,False,False,True,11,1,35,0.11976473192890076,0.000185300673479178,0.11970334285714286,1,21,True,9,8
107,1024,2048,1024,0.3081375722790001,1,64,128,256,RS,False,True,False,True,False,7,1,35,0.3087005420067142,0.0008496517923027384,0.30841905714285717,30,1,True,5,32
108,256,2048,2048,0.09381171060669667,1,128,32,64,RS,True,False,True,True,True,18,8,35,0.09383032939330331,2.8100064056867214e-05,0.09382101999999999,18,1,True,26,8
109,2048,512,2048,0.08871862966420187,1,1,32,64,RS,False,False,True,False,False,29,1,35,0.08873802747865527,2.9275797624156316e-05,0.08872832857142857,1,13,True,16,8
110,2048,1024,2048,0.11215652791116908,1,1,64,64,RS,False,False,False,True,True,11,1,35,0.11219775780311665,6.222546233870293e-05,0.11217714285714286,1,11,True,4,8
111,1,1024,2048,inf,32,512,256,32,RS,True,False,True,False,True,18,1,1,inf,inf,inf,20,1,False,7,1
112,1024,128,128,0.20938244600074593,8,16,1,16,RS,True,False,False,False,False,20,8,35,0.20941218257068264,4.487937574596107e-05,0.2093973142857143,17,1,True,5,1
113,256,2048,1,0.09056017998657766,1,64,1,16,RS,False,False,True,False,False,28,8,35,0.09058434572770806,3.6471703988664323e-05,0.09057226285714286,1,16,True,4,1
114,256,2048,256,0.12211535851517505,1,128,256,16,RS,False,True,True,False,True,13,8,35,0.1221421843419678,4.048638975139754e-05,0.12212877142857143,19,1,True,5,8
115,256,2048,2048,0.14773934297169566,1,1,256,16,RS,False,False,False,True,True,1,1,35,0.14777757131401859,5.7695428319577935e-05,0.14775845714285712,1,26,True,27,8
116,128,1024,64,0.1075828489546404,8,64,128,1,RS,False,False,False,False,True,17,1,35,0.10764166533107389,8.876754325029856e-05,0.10761225714285715,5,1,True,5,8
117,512,64,1,inf,32,16,32,256,RS,False,False,True,False,True,25,1,1,inf,inf,inf,1,16,False,7,1
118,1,1024,2048,0.11079450392893837,1,512,1,1,RS,True,False,False,False,False,28,1,35,0.11082275321391878,4.263471805551748e-05,0.11080862857142858,1,8,True,17,1
119,512,512,1024,0.09244828611013191,8,1,64,256,RS,True,False,True,False,True,22,1,35,0.09247161103272526,3.520271394918028e-05,0.09245994857142859,4,21,True,1,8
120,128,256,512,0.10924982996313051,1,256,128,1,RS,False,False,False,True,True,24,1,35,0.10927479860829808,3.7683472260828735e-05,0.1092623142857143,14,1,True,14,8
121,512,256,1,0.09883869064949347,1,64,1,32,RS,False,True,True,False,True,5,1,35,0.09887282363622082,5.151458759122477e-05,0.09885575714285715,8,4,True,1,8
122,1,2048,1,inf,32,512,512,256,RS,True,False,True,True,True,1,1,1,inf,inf,inf,11,1,False,24,1
123,1024,512,2048,0.11139573242818944,1,32,32,128,RS,True,False,True,True,False,15,8,35,0.11142518185752488,4.4446014031240506e-05,0.11141045714285716,21,4,True,1,1
124,1024,512,1,inf,1,1,512,16,RS,False,False,False,False,True,11,1,1,inf,inf,inf,28,16,False,1,32
125,2048,256,512,0.1581494457248228,8,512,1,32,RS,True,False,False,False,True,29,8,35,0.15825575427517713,0.0001604442404254952,0.15820259999999997,1,24,True,2,1
126,1,1024,1024,0.12112265248105397,8,512,512,32,RS,True,False,False,True,False,27,1,35,0.12115637609037455,5.089674220759988e-05,0.12113951428571426,22,29,True,1,8
127,512,2048,256,0.2903427515293555,1,256,256,64,RS,False,False,True,False,True,23,1,35,0.290482677042073,0.000211180027657996,0.29041271428571425,23,12,True,1,32
128,128,128,128,inf,1,1,32,128,RS,False,False,True,True,True,13,32,1,inf,inf,inf,26,28,False,1,1
129,1024,512,256,0.11922119025717273,8,32,128,64,RS,False,False,True,True,False,18,8,35,0.1192565811713987,5.341309172241275e-05,0.11923888571428572,20,12,True,1,1
130,1,64,1,0.1279836245154262,8,64,64,32,RS,True,False,False,True,False,1,1,35,0.12801008977028808,3.994220314200064e-05,0.12799685714285713,24,10,True,1,8
131,2048,128,1,0.3106916072880786,1,16,16,1,RS,True,False,False,True,True,8,1,35,0.31079679271192134,0.00015874918222511734,0.31074419999999997,24,1,True,16,32
132,128,512,1,0.10026963198047305,1,256,256,1,RS,False,True,True,True,True,25,8,35,0.10030036801952698,4.6387806279544217e-05,0.10028500000000001,21,11,True,1,8
133,256,64,128,0.18206957994080905,1,128,32,1,RS,True,False,True,True,False,18,8,35,0.18209527720204807,3.8783122775827134e-05,0.18208242857142856,18,1,True,17,1
134,512,1,2048,0.24020540224259557,8,16,16,32,RS,False,False,False,False,False,9,8,35,0.24024168347169012,5.4756783197355306e-05,0.24022354285714284,13,1,True,22,1
135,64,1024,2048,0.09739002637568299,8,512,1,1,RS,True,False,True,True,True,10,1,35,0.097424333624317,5.177758919510597e-05,0.09740718,1,22,True,3,8
136,256,128,512,0.22042545594384932,1,32,16,32,RS,True,False,False,False,True,11,8,35,0.22045740119900775,4.8212793627705185e-05,0.22044142857142854,20,1,True,2,1
137,2048,1,1,0.16053862787229586,1,16,16,64,RS,True,False,False,False,True,23,32,35,0.1605749721277042,5.485190451179802e-05,0.16055680000000003,1,2,True,10,1
138,64,64,128,inf,1,1,16,16,RS,False,False,False,True,False,13,32,1,inf,inf,inf,13,1,False,18,1
139,2048,1024,256,0.110639201273039,8,32,512,512,RS,True,False,True,False,True,23,8,35,0.11066697015553242,4.190967936515151e-05,0.11065308571428571,9,16,True,1,1
140,1,512,128,0.18225986304657227,8,64,1,128,RS,False,False,False,False,True,25,8,35,0.18241373695342772,0.00023223138707516799,0.1823368,1,22,True,8,1
141,128,512,2048,0.131667927833247,1,16,128,16,RS,False,True,True,True,False,6,8,35,0.13169344359532448,3.850919847707724e-05,0.13168068571428573,7,14,True,1,1
142,1024,64,1024,0.16703639492155764,8,32,1,128,RS,False,False,False,False,False,27,1,35,0.1670812622212995,6.771515370148773e-05,0.16705882857142856,1,7,True,11,1
143,256,1,256,inf,32,16,1,32,RS,False,True,True,False,True,17,1,1,inf,inf,inf,20,1,False,5,1
144,2048,512,256,0.08808429726322684,8,256,1,128,RS,True,True,True,False,False,16,1,35,0.08810341130820173,2.8847523715041013e-05,0.08809385428571428,27,1,True,18,8
145,128,128,512,0.13693571457755924,1,256,32,1,RS,True,False,False,False,False,14,32,35,0.13695719970815504,3.242604143686595e-05,0.13694645714285714,1,7,True,17,1
146,1024,2048,512,0.1543102983749043,1,32,64,32,RS,True,True,False,True,False,24,8,35,0.15442101591080998,0.00016709842144370916,0.15436565714285713,1,25,True,16,1
147,2048,1,64,0.27316634655769384,8,1,128,16,RS,True,False,False,False,True,19,8,35,0.27319708201373477,4.638692637776339e-05,0.2731817142857143,20,1,True,8,1
148,256,128,2048,0.1927847807579118,8,256,64,16,RS,False,False,True,True,False,28,8,35,0.19282007638494533,5.326928126538548e-05,0.19280242857142857,20,1,True,7,1
149,64,128,128,0.10764794781182342,1,128,32,32,RS,False,True,True,True,True,1,1,35,0.10766770933103369,2.9824712394049985e-05,0.10765782857142855,15,4,True,1,8
150,128,1,2048,0.17428814292178071,1,1,512,16,RS,True,False,True,False,False,28,8,35,0.17432168564964787,5.062375017353681e-05,0.1743049142857143,5,1,True,16,1
151,256,512,1024,0.10804154488516154,1,128,512,1,RS,False,True,True,True,False,22,8,35,0.10807154082912418,4.52708312632461e-05,0.10805654285714286,1,9,True,9,8
152,256,256,2048,0.11066966057886905,1,512,32,16,RS,False,True,False,True,False,27,8,35,0.11070468227827375,5.285586098831767e-05,0.1106871714285714,27,1,True,22,8
153,1,256,1024,0.13593178602559197,8,1,16,1,RS,False,False,False,False,False,6,8,35,0.13599049968869376,8.86125250279929e-05,0.13596114285714286,21,24,True,1,1
154,256,1,64,0.11862296216747682,8,32,256,128,RS,False,False,False,False,True,11,1,35,0.1186776092610946,8.24751292134514e-05,0.11865028571428571,1,24,True,27,8
155,256,128,2048,0.1170539134984101,1,16,32,256,RS,True,True,False,True,False,28,1,35,0.1170811722158756,4.113972210277849e-05,0.11706754285714285,1,5,True,26,8
156,512,512,64,0.1136957617737236,1,1,32,32,RS,False,False,True,True,True,27,1,35,0.11372309536913351,4.1252730274516827e-05,0.11370942857142856,1,20,True,22,8
157,128,2048,512,0.0962575979993901,8,512,64,32,RS,True,True,True,False,False,12,1,35,0.09627867628632417,3.1812020061733965e-05,0.09626813714285713,27,2,True,1,8
158,256,1024,1,0.11504133409518776,8,256,64,1,RS,True,False,False,False,False,23,1,35,0.11506283733338364,3.245337000204782e-05,0.1150520857142857,14,1,True,3,8
159,1024,1024,1024,0.2620270005008977,32,1,16,512,RS,False,True,False,True,False,28,1,35,0.2621619709276736,0.00020370165458737352,0.2620944857142857,25,1,True,11,1
160,1,1024,1,0.17705394858195506,32,1,32,128,RS,True,False,True,True,False,24,1,35,0.17707250856090206,2.801130966927103e-05,0.17706322857142856,9,9,True,1,1
161,2048,128,2048,0.30186441466276986,1,64,32,64,RS,False,True,False,True,False,15,1,35,0.3027999853372301,0.0014119929744867746,0.3023322,1,10,True,23,32
162,512,1,256,0.17428764991108747,1,256,256,256,RS,True,True,False,False,False,6,8,35,0.1743143500889125,4.0296756338798396e-05,0.17430099999999998,1,1,True,23,1
163,2048,128,512,0.09333438630928284,8,512,128,512,RS,True,True,True,True,False,8,1,35,0.09336369940500286,4.424025500904441e-05,0.09334904285714285,29,29,True,1,8
164,128,1,128,0.12359117749589357,8,1,1,32,RS,True,False,True,False,False,25,8,35,0.12366756536124932,0.00011528699238094906,0.12362937142857144,27,25,True,1,1
165,1024,512,256,0.2199765631669881,1,1,512,16,RS,True,False,False,False,True,3,1,35,0.22008029397586898,0.0001565538311278794,0.22002842857142854,6,1,True,22,32
