id,runs,mean_confidence_interval_sup,mean_confidence_interval_inf,U2_I,U2_J,cost_mean,baseline,technique,RT2_J,T2_Ia,correct_result,T2_J,T2_I,OMP,VEC2,cost_std,T2_Ja,SCR,RT2_I
164,10,0.08817257405713971,0.04979824594286028,6,1,0.06898541,False,RS,2,1024,True,32,4,True,True,0.030957273061380908,512,True,8
165,10,0.0973421924086312,0.059670147591368794,25,1,0.07850617,False,RS,32,2048,True,128,2048,True,False,0.030390728268011282,1024,True,2
166,10,0.08899236686796837,0.07506345313203165,6,1,0.08202791000000001,False,RS,8,128,True,2,64,True,True,0.01123670972655697,16,True,8
167,10,0.09506278222430914,0.08058157777569086,1,5,0.08782218,False,RS,16,1,True,1,32,True,False,0.0116822527560227,512,False,2
168,10,0.17130832314478459,0.17081707685521538,1,26,0.17106269999999998,False,RS,1,512,True,1,64,False,False,0.0003962973757167695,512,True,4
169,10,0.09624922359076163,0.07354849640923838,9,1,0.08489886,False,RS,1,128,True,2,16,True,True,0.01831309223076212,128,True,32
170,10,0.08579425245235292,0.07775212754764707,1,16,0.08177319,False,RS,1,2,True,512,1,True,True,0.006487729398865216,1024,True,16
171,10,0.09040651738522915,0.08277908261477085,5,1,0.0865928,False,RS,16,16,True,2,8,True,True,0.006153191275265218,1,True,4
172,10,0.8487878934422614,0.8483949065577389,1,22,0.8485914000000001,False,RS,4,4,True,4,2,False,False,0.0003170297146956545,4,False,16
173,10,0.18286537661166063,0.18281582338833935,28,1,0.1828406,False,RS,32,256,True,8,4,False,False,3.9975492492276537e-05,32,False,1
174,10,0.12117311494053601,0.12112748505946394,2,1,0.12115029999999997,False,RS,1,4,True,1024,4,False,True,3.6810460469817666e-05,1,True,32
175,10,0.09390822486005058,0.08130033513994943,1,30,0.08760428,False,RS,2,2,True,1024,2,True,True,0.010171015467179273,1,True,4
176,10,0.14280360764360256,0.14277679235639745,1,12,0.1427902,False,RS,16,4,True,256,4,False,False,2.163238313269954e-05,1024,True,4
177,10,0.09822988631049268,0.06985735368950732,11,1,0.08404362,False,RS,16,512,True,8,4,True,True,0.02288864152031745,64,True,2
178,1,inf,inf,15,1,inf,False,RS,8,1,False,4,1,True,False,inf,512,True,8
179,10,0.12245033372015918,0.12231446627984083,1,7,0.1223824,False,RS,4,256,True,64,128,False,False,0.00010960675161685859,256,False,1
180,10,0.2494613599155418,0.2493858400844582,1,8,0.2494236,False,RS,16,512,True,4,128,False,True,6.0923230380534514e-05,128,True,2
181,10,0.0940914765345254,0.07938314346547459,19,1,0.08673731,False,RS,4,1,True,64,8,True,False,0.011865481572481582,128,False,1
182,10,0.0924422962836199,0.07530252371638009,1,3,0.08387241,False,RS,2,64,True,1,64,True,False,0.013826968331376912,256,False,2
183,10,0.09566386969769881,0.06369683030230115,1,23,0.07968034999999998,False,RS,2,2048,True,4,256,True,True,0.025788395944814017,4,True,4
184,10,0.09873663472771044,0.05167906527228957,7,1,0.07520785,False,RS,2,2048,True,4,2,True,True,0.03796220282731891,16,True,8
185,10,0.08271240572772802,0.042951074272271975,27,1,0.06283174,False,RS,2,1,True,8,1024,True,True,0.03207619405048547,32,True,4
