id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
189,32,4,32,1024,32,8,1.9569594154646244,16,False,1,DLMT,32,False,False,False,True,1,4,1,False,8,22,32,32,10,18,2,1.9570379999999996,8,0.00012679116688476424,8,True,1,18,512,1.9571165845353748,3,1
190,1,8,8,512,1,1,5.398819338184932,32,False,8,DLMT,256,True,True,True,False,32,64,1,True,4,14,1024,2,10,21,16,5.399159000000001,1,0.000548022809744152,8,True,1,30,512,5.39949866181507,30,1
191,16,16,4,256,16,2048,4.040990977301444,4,False,256,DLMT,128,False,False,False,False,1,1024,22,True,1,17,32,4,10,1,8,4.041336,8,0.0005566722554611056,1,True,17,1,32,4.0416810226985564,4,1
192,2,4,8,32,256,1,2.2571974885241035,4,False,256,DLMT,1,True,False,False,True,2,256,1,False,4,1,1,16,10,16,1,2.2575629999999998,2,0.0005897295990536915,8,True,18,1,1024,2.257928511475896,1,9
193,8,256,2,8,32,512,2.986998206353675,4,False,256,DLMT,128,False,True,True,True,1,64,5,False,32,7,256,2,10,1,32,2.9871269999999996,4,0.00020780038498520792,16,True,11,1,128,2.9872557936463244,6,1
194,64,4,4,2048,32,1024,3.015138078233005,32,False,1024,DLMT,16,True,True,False,True,2,1,10,True,16,24,1024,2,10,1,4,3.0155070000000004,16,0.0005952318875866486,2,True,1,24,512,3.015875921766996,21,1
195,2,1024,32,2,64,64,10.997509812021377,64,False,2048,DLMT,128,False,False,False,False,8,2,30,True,16,26,1,4,10,1,16,10.997910000000001,4,0.000645677938294265,2,True,1,27,128,10.998310187978625,1,23
196,8,32,128,64,4,16,inf,16,False,1,DLMT,2048,False,False,True,False,32,16,14,False,1,16,4,16,1,1,1,inf,2,inf,8,False,3,1,64,inf,2,1
197,64,1,2,512,2,1024,2.3343642791770405,4,False,16,DLMT,1,True,False,False,False,4,64,1,False,16,12,16,4,10,23,4,2.3348240000000002,4,0.0007417304092458638,4,True,28,1,1,2.33528372082296,25,1
198,32,1024,16,512,4,2048,inf,2,False,1024,DLMT,64,False,True,True,True,2,64,29,False,1,24,2048,32,1,1,2,inf,4,inf,32,False,1,15,64,inf,1,22
199,8,1,4,128,8,64,3.008474655740602,64,False,4,DLMT,1,False,True,True,False,16,8,14,True,1,10,128,1,10,1,1,3.008647,8,0.00027806653879958946,4,True,4,1,256,3.008819344259398,1,1
200,2,2,4,1024,512,1024,2.8846042873557702,4,False,1,DLMT,1024,False,True,False,True,16,1024,1,True,8,24,512,8,10,15,4,2.8846600000000002,8,8.988882021697296e-05,8,True,1,13,2048,2.88471571264423,17,1
201,8,1,32,32,16,256,4.1541558544015365,2,False,2,DLMT,1,False,True,True,False,4,16,19,False,16,23,1,32,10,1,1,4.1543980000000005,32,0.00039068657514689767,2,True,23,1,64,4.1546401455984645,1,8
202,32,4,2,1024,256,1024,1.9173177320678503,256,False,8,DLMT,2048,True,False,False,False,1,4,1,True,2,22,512,16,10,13,4,1.9174440000000001,2,0.00020372530525189798,2,True,1,11,2048,1.91757026793215,28,1
203,2,8,2048,64,4,16,4.913447160060286,64,False,8,DLMT,2048,True,False,True,False,8,2,13,True,1,26,2048,1,10,1,4,4.913603,8,0.0002514378650880237,4,True,24,1,1024,4.913758839939715,1,23
204,1,2,64,128,1,256,2.1546853542704274,2,False,1024,DLMT,1024,True,False,False,True,4,32,12,False,8,1,2048,16,10,1,8,2.154807,2,0.00019626767436329076,2,True,1,10,256,2.1549286457295724,8,1
205,64,2,2,128,64,128,inf,4,False,64,DLMT,8,False,False,False,True,16,128,28,False,8,2,2048,2,1,1,4,inf,32,inf,2,False,4,1,4,inf,1,9
206,1024,4,1,1024,8,1,1.8606755918847264,1,False,128,DLMT,4,True,False,False,False,16,1,1,True,2,18,16,1,10,10,32,1.860761,2,0.00013780058055029627,2,True,6,1,2,1.8608464081152738,15,1
207,1,1024,128,32,128,2048,inf,256,False,2048,DLMT,1024,True,True,False,True,1,64,12,True,1,30,512,16,1,1,4,inf,16,inf,4,False,2,1,1,inf,1,21
208,16,256,1,32,4,2048,3.630993260737387,2048,False,1024,DLMT,1024,False,True,True,False,16,2,1,False,2,16,4,16,10,28,1,3.6312960000000003,32,0.0004884506116282308,4,True,18,1,2048,3.6315987392626137,1,15
209,16,4,1024,1,4,1,2.8099477662159438,2,False,128,DLMT,1,False,True,True,True,2,64,15,True,8,27,8,1,10,1,4,2.8100590000000003,2,0.00017946866021675367,4,True,1,1,128,2.810170233784057,1,28
210,512,256,512,1,1,16,3.1967369402331327,2,False,1,DLMT,1024,False,False,False,False,32,8,10,False,2,27,2,2,10,1,8,3.196793,1,9.044888059004866e-05,16,True,19,1,2048,3.1968490597668673,1,7
211,1,16,2,512,1,32,1.9771659708509277,1,False,1,DLMT,1,False,False,True,False,16,32,1,False,4,24,8,4,10,9,2,1.977259,8,0.00015009663553858566,2,True,1,21,16,1.9773520291490725,17,1
212,1024,2,1,1,1024,1,2.1056206846406638,1024,False,2,DLMT,8,False,True,True,True,4,2048,5,False,1,26,2048,4,10,1,32,2.105689,2,0.00011022250223975513,2,True,29,1,2048,2.105757315359336,10,1
213,256,128,1,512,1,256,4.431490459051288,16,False,512,DLMT,128,True,True,True,False,2,32,1,False,16,24,64,4,10,26,1,4.431673,16,0.000294518250707904,8,True,1,3,1,4.431855540948712,1,2
214,32,64,4,256,128,256,4.030930927456798,256,False,64,DLMT,1,False,False,True,True,8,4,1,True,8,13,1,16,10,5,8,4.031480999999999,4,0.0008875071830694766,2,True,1,1,1024,4.032031072543201,1,7
215,128,128,128,2048,128,2048,4.468252190372652,256,False,128,DLMT,1,False,True,True,False,16,2,1,False,4,1,1,16,10,12,8,4.468477999999999,32,0.00036432952117551235,2,True,1,5,256,4.468703809627346,1,5
216,2,32,2,2048,8,512,4.949731650455039,8,False,512,DLMT,2048,False,True,True,False,2,64,1,True,8,22,512,4,10,15,16,4.949809999999999,16,0.00012641202474451103,8,True,21,1,16,4.94988834954496,2,1
