id,SCREP,correct_result,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,U_K,U_J,U_I,T1_K,T1_Ka,runs,cost_mean,OMP,PAR,VEC,cost_std,mean_confidence_interval_sup,baseline
173,False,True,2048,RS,1.1261702707631946,256,2048,256,1,6,10,128,256,10,1.1262569999999998,False,True,True,0.0001399321264042193,1.126343729236805,False
174,True,True,256,RS,0.4342031694864815,2,256,4,27,1,3,32,128,10,0.43652369999999996,True,True,True,0.0037440289007965766,0.4388442305135184,False
175,False,True,512,RS,0.43572789191580813,64,1,512,1,4,19,16,1,10,0.4441339,True,False,False,0.013562561243732698,0.4525399080841919,False
176,False,True,512,RS,1.5313618738228398,1,4,256,1,14,6,8,16,10,1.531833,False,True,True,0.0007601322253397704,1.5323041261771602,False
177,False,True,256,RS,0.10651406873275047,8,128,16,1,4,5,16,512,10,0.11379220000000001,True,False,False,0.011742803488094313,0.12107033126724955,False
178,False,True,2048,RS,2.7021808746127176,64,256,512,12,4,1,4,256,10,2.7023669999999997,False,False,False,0.00030030151514768064,2.702553125387282,False
179,False,True,1,RS,0.11351184819262178,1,1024,1,20,1,4,2,2048,10,0.1212555,True,False,True,0.012493891373387231,0.12899915180737823,False
180,False,True,4,RS,1.970360848846944,64,4,1024,1,1,30,8,16,10,1.9722870000000001,False,False,False,0.003107722799736173,1.9742131511530563,False
181,True,True,1,RS,1.2036846907918135,512,16,1024,1,7,7,1,4,10,1.2047370000000002,False,False,True,0.0016978342086317003,1.2057893092081868,False
182,True,True,1,RS,2.6369332337344145,8,32,1,3,1,21,2,32,10,2.6371550000000004,False,True,False,0.00035780581325630203,2.6373767662655863,False
183,True,True,1024,RS,4.538501806357148,512,256,1024,7,1,2,4,256,10,4.538967000000001,False,False,False,0.0007505604572585109,4.539432193642854,False
184,True,True,1,RS,0.07443534377743748,1,512,4,1,2,4,256,2048,10,0.08303975999999999,True,True,True,0.01388268019924107,0.0916441762225625,False
